,AMBIENT_TEMPERATURE,DISCHARGE_FLOW_COMMON,DISCHARGE_PRESSURE,DISCHARGE_TEMP_1,FLOW_1,FLOW_2,GROSS_LOAD,IB_SEAL_DRAIN_TEMP,MOTOR_CURRENT,MOTOR_IB_TEMP_1,MOTOR_OB_TEMP_1,MOTOR_STATOR_TEMP_1,MOTOR_STATOR_TEMP_2,MOTOR_STATOR_TEMP_3,OB_SEAL_DRAIN_TEMP,PUMP_DELTA_PRESS_CV,PUMP_IB_TEMP_1,PUMP_OB_TEMP_1,PUMP_OB_TEMP_2,SUCTION_PRESSURE_1,SUCTION_STRAINER_DP,SUCTION_TEMP_1
2018-11-19 08:23:01.750,24.32003403,1297.756714,2.605276346,178.2041168,1288.082642,1289.295898,802.458374,41.58198166,83.47826385,52.84524155,36.9217453,70.33490753,67.61808014,66.18218994,41.08975601,1.439546108,58.88188171,70.28264618,63.10367203,1.165730238,18.41719818,178.2311249
2018-11-19 08:23:06.756,23.67573357,1314.995483,2.612603903,179.2309418,1306.655273,1307.849976,815.2516479,41.8928833,83.47826385,53.05321884,36.559558870000004,71.45886993,68.5321579,66.9131012,41.37471771,1.430080771,58.49126434,69.65550232,62.45180893,1.182523131,18.84465027,179.2309418
2018-11-19 08:23:11.762,23.13461685,1292.802002,2.607718706,178.3932343,1286.742188,1287.956421,800.0595703,41.65970612,82.89203644,53.05321884,36.22328186,70.90991211,68.14037323,66.52151489,41.16746521,1.443515062,58.49126434,69.7600174,62.37359238,1.164203644,18.29506683,178.3932343
2018-11-19 08:23:16.769,22.69661903,1257.768921,2.607718706,177.609787,1255.278809,1257.768921,791.2642212,41.34880829,81.71958923,52.61128998,35.78358459,70.07357788,67.27862549,65.79069519,40.85663223,1.4587812420000001,58.36105728,69.68161774,62.21715927,1.148937464,17.44015503,177.609787
2018-11-19 08:23:21.775,22.31022835,1295.474365,2.602833748,178.0149841,1286.996826,1288.211304,801.6587524,41.14157486,82.89203644,52.03945923,35.21463776,69.52484894,66.5737381,64.98175049,40.51990128,1.443209887,58.07463455,69.3680954,61.98254395,1.159623861,18.23400116,178.0420227
2018-11-19 08:23:26.782,22.02688789,1355.548218,2.627259731,181.1234131,1347.477417,1348.633301,852.0323486,41.4265213,84.94380951,51.93549728,35.00777054,70.80535126,67.82697296,66.33879852,40.96024704,1.406571031,57.57995224,68.79335785,61.69580841,1.220688701,20.00488663,181.1504364
2018-11-19 08:23:31.788,21.82083511,1313.751099,2.610161304,179.3120728,1305.403687,1307.794067,816.8508301,41.29700089,82.5989151,52.14342499,35.08534241,70.28264618,67.3830719,65.86898041,40.75302124,1.429164767,57.76218796,69.00234985,61.61761475,1.180996537,18.84465027,179.3120728
2018-11-19 08:23:36.794,21.94962311,1338.61145,2.622374535,180.6366577,1330.432861,1332.774658,835.2410889,41.65970612,83.7713623,52.42933655,35.88702393,71.22360229,68.21871948,66.73036194,41.16746521,1.41542542,57.84030914,68.89785004,61.80007553,1.206949115,19.82168961,180.6366577
2018-11-19 08:23:41.800,22.82544136,1352.079224,2.607718706,179.7715607,1343.973755,1346.294556,838.4394531,41.73742676,85.53003693,52.8972435,36.87001038,71.8510437,68.87171936,67.40918732,41.24517822,1.409929276,58.28294373,69.28971863,62.16502762,1.197789431,20.0659523,179.825592
2018-11-19 08:23:46.806,23.95921135,1471.661865,2.615046501,182.9628296,1467.430298,1467.430298,902.4058228,43.08500671,89.63361359,54.63947678,38.34502029,75.38269043,72.45245361,70.88378906,42.72212601,1.3516122099999999,58.93397903,69.57711792,62.79075241,1.263434291,23.8519783,182.9899139
