,AMBIENT_TEMPERATURE,DISCHARGE_FLOW_COMMON,DISCHARGE_PRESSURE,DISCHARGE_TEMP_1,FLOW_1,FLOW_2,GROSS_LOAD,IB_SEAL_DRAIN_TEMP,MOTOR_CURRENT,MOTOR_IB_TEMP_1,MOTOR_OB_TEMP_1,MOTOR_STATOR_TEMP_1,MOTOR_STATOR_TEMP_2,MOTOR_STATOR_TEMP_3,OB_SEAL_DRAIN_TEMP,PUMP_DELTA_PRESS_CV,PUMP_IB_TEMP_1,PUMP_OB_TEMP_1,PUMP_OB_TEMP_2,SUCTION_PRESSURE_1,SUCTION_STRAINER_DP,SUCTION_TEMP_1
2018-11-18 16:36:31.413,23.23768425,1284.469604,2.573522329,176.3404083,1272.215332,1274.675537,781.6693115,41.19337845,83.47826385,53.13121414,36.76652527,70.96220398,68.14037323,66.65205383,40.36450958,1.450537443,58.41312408,69.81227112,62.58218002,1.122984886,17.62335205,176.3404083
2018-11-18 16:36:36.420,23.95921135,1354.090698,2.585735321,178.5553589,1345.987061,1347.147705,829.644043,41.91880035,85.53003693,54.19733429,37.74975204,73.13247681,70.23038483,68.63663483,41.08975601,1.416951776,58.67355347,69.7600174,62.76469421,1.168783545,20.00488663,178.5823975
2018-11-18 16:36:41.426,24.70667839,1254.578125,2.588177919,176.7454529,1245.810913,1247.067139,770.4750977,42.43707275,82.5989151,56.27853012,39.45817947,74.70220184,71.92947388,70.28264618,41.45243454,1.463666558,59.81959152,70.09971619,62.86897278,1.124511361,17.19589615,176.6914825
2018-11-18 16:36:46.432,25.45431137,1223.555176,2.558866978,173.88414,1211.94751,1214.536621,736.0932007,42.07426453,81.4264679,57.00726318,40.41630173,73.78644562,71.09288788,69.55098724,41.19337845,1.480154276,60.88787079,70.67468262,63.31229401,1.078712702,16.34098816,173.9381256
2018-11-18 16:36:51.438,26.33104897,1306.508545,2.585735321,177.6908112,1299.304932,1300.508423,803.2579346,42.79989624,84.06447601,57.29359055,40.90843201,75.80147552,72.94936371,71.38044739,41.91880035,1.433744669,60.52305984,70.30878448,63.31229401,1.151990652,18.60039139,177.7178192
2018-11-18 16:36:56.444,27.02744293,1373.655884,2.60039115,180.0148315,1366.822754,1370.24353,848.0343628,43.3182869,86.40937042,58.17878342,41.24517822,77.71302032,74.83305359,73.31555176,42.592556,1.401075125,60.52305984,70.41333008,63.67741776,1.199316025,20.85979652,180.0418549
2018-11-18 16:37:01.450,27.54340363,1500.864014,2.610161304,183.0440063,1491.51416,1492.555908,915.9986572,43.94046021,90.80605316,59.09024429,41.63378906,80.07120514,76.97970581,75.35649109,43.370121,1.3406205180000001,60.54909897,70.4394455,63.96432877,1.269540787,24.52369499,183.1251678
2018-11-18 16:37:06.459,27.74980927,1497.544189,2.607718706,183.2604828,1485.040283,1487.13147,919.1970215,44.32938766,90.51293945,60.13222885,42.17791367,81.30338287,78.34169006,76.71783447,43.7589798,1.338177919,60.78363037,70.46559143,63.91214752,1.269540787,24.46262932,183.2604828
2018-11-18 16:37:11.465,27.64660454,1278.967407,2.588177919,177.258606,1269.140381,1270.372925,781.6693115,43.52567291,82.5989151,60.88787079,42.46297073,79.54702759,76.63928986,74.99007416,42.74805069,1.448400259,61.77400589,70.62239075,63.46876907,1.13977766,17.62335205,177.2316284
2018-11-18 16:37:16.471,27.23381805,1254.668823,2.590620518,176.6374512,1247.157349,1249.66626,778.4709473,43.03315735,82.30581665,60.34066391,42.72212601,78.34169006,75.48737335,73.83873749,42.02244568,1.461529255,61.80007553,70.02132416,62.84291458,1.129091263,17.07376862,176.6104736
2018-11-18 16:37:21.479,26.66632843,1314.770508,2.588177919,177.82589719999999,1306.416504,1307.613159,800.8591919,42.64437866,84.06447601,58.93397903,40.98613739,76.79638672,74.04804993,72.45245361,41.76334381,1.43313396,60.78363037,69.42034149,62.24323654,1.15504396,18.78358459,177.85289
2018-11-18 16:37:26.485,26.07316208,1282.939941,2.578407526,176.7994843,1274.368042,1275.596191,784.0679932,42.07426453,82.89203644,57.65804672,39.74300385,75.3041687,72.34786224,70.7530899,41.40063095,1.44778955,60.34066391,69.78613281,62.5039444,1.130617976,17.80654716,176.7994843
2018-11-18 16:37:31.491,25.27381516,1329.467163,2.595505714,178.7985687,1318.847412,1320.031494,817.6503906,42.17791367,84.65071106,56.56480408,38.83682251,75.12094116,72.11251068,70.41333008,41.4265213,1.423668861,59.74144363,69.73388672,62.73861313,1.171836853,19.33316994,178.7715302
2018-11-18 16:37:36.497,24.47467804,1241.196777,2.583292961,176.1244049,1236.136719,1237.403687,766.4772339,41.47834778,82.30581665,55.60201263,38.06031799,72.97554016,70.07357788,68.45379639,40.77890778,1.4664146900000001,59.61118317,70.54399109,63.26012802,1.116878271,17.01270294,176.1244049
2018-11-18 16:37:41.503,23.90765762,1240.268311,2.578407526,175.6114197,1230.114502,1233.931885,766.4772339,41.29700089,82.30581665,54.79553604,37.54272842,71.8510437,69.02845764,67.43527985,40.51990128,1.467635751,59.40280914,70.57012939,63.18190002,1.110771775,16.76844215,175.638443
2018-11-18 16:37:46.509,23.39227867,1318.107422,2.585735321,178.1500702,1308.583374,1309.77771,801.6587524,41.21928787,84.65071106,54.58746719,37.23223114,72.58321381,69.73388672,68.11425018,40.41630173,1.433744669,58.8037529,69.89066315,62.76469421,1.151990652,18.84465027,178.1500702
2018-11-18 16:37:51.515,22.87697792,1396.622437,2.583292961,179.4201508,1384.269653,1386.523804,852.0323486,41.21928787,87.58181763,54.95162964,37.25811005,73.57715607,70.62239075,69.00234985,40.39041519,1.393136621,58.59541321,69.49871826,62.21715927,1.190156341,20.98192596,179.4471741
2018-11-18 16:37:56.520,22.12992096,1329.467163,2.597948313,178.7985687,1318.847412,1321.214722,818.4498901,40.96024704,84.94380951,54.71751022,36.99935913,73.23708344,70.20425415,68.5321579,40.36450958,1.427638173,58.46521759,69.23745728,61.98254395,1.17031014,19.39423561,178.7715302
2018-11-18 16:38:01.526,21.07401276,1295.781738,2.588177919,177.5557404,1286.086182,1288.516968,799.2600098,40.64941406,83.47826385,54.40538406,36.53368378,71.98178101,69.08071136,67.40918732,39.74300385,1.44076705,58.41312408,68.47989655,60.96604156,1.14741087,18.23400116,177.5557404
2018-11-18 16:38:06.533,21.09976768,1371.231689,2.578407526,178.6364594,1365.521484,1367.80835,839.2390747,40.07963562,86.70248413,53.49521255,35.86117172,71.61574554,68.55825806,67.06974792,39.35461426,1.405044079,57.86633301,68.92398071,61.77400589,1.173363447,20.4934063,178.6904602
2018-11-18 16:38:11.538,21.28002167,1344.730835,2.588177919,178.6904602,1337.740234,1340.074463,824.0470581,40.18322754,84.94380951,53.36521912,35.62839508,71.66802979,68.68886566,67.12197876,39.38051224,1.41786778,57.68408585,69.02845764,61.85219955,1.17031014,19.76062775,178.6904602
2018-11-18 16:38:16.544,21.76933479,1323.877686,2.593063116,178.3662262,1313.207764,1315.586304,822.447876,40.36450958,84.35759735,53.70323563,36.22328186,72.06022644,69.08071136,67.51363373,39.56175232,1.425806284,57.89237595,69.23745728,62.06074905,1.167256832,19.2110424,178.3932343
2018-11-18 16:38:21.550,23.08307648,1141.870361,2.561309576,172.7780914,1132.189697,1133.577759,705.7092285,41.16746521,79.08158112,55.4719162,38.37090683,72.58321381,69.89066315,68.34931946,40.0278511,1.5131293540000001,59.61118317,69.44647217,61.74795151,1.048180223,14.44797421,172.6702118
2018-11-18 16:38:26.556,24.78400803,1345.016235,2.583292961,178.2851715,1333.342529,1332.169434,817.6503906,41.63378906,86.11627197,55.78414154,38.94037247,74.30971527,71.43273926,69.91679382,40.62350464,1.419089317,59.5070076,68.66274261,61.74795151,1.164203644,19.82168961,178.3121796
2018-11-18 16:38:31.562,26.15052414,1392.475586,2.573522329,178.9337006,1381.211304,1382.341919,844.036499,42.46297073,87.28871918,57.05932999,39.97604752,76.0632782,73.36787415,71.74645233,41.71151352,1.397105575,59.81959152,69.57711792,62.76469421,1.176416755,20.79873085,178.9607086
2018-11-18 16:38:36.568,26.82110405,1247.000366,2.597948313,176.8805084,1236.915283,1239.444336,775.272644,42.72212601,81.71958923,58.0485878,40.62350464,76.48218536,73.70796967,72.06022644,41.91880035,1.464277029,60.62728882,70.25650787,63.07758713,1.133671284,17.07376862,176.8535004
2018-11-18 16:38:41.574,27.54340363,1311.436035,2.568637133,175.7464294,1301.838989,1303.04248,796.8613281,42.35931015,84.06447601,57.81427002,40.85663223,74.93776703,72.37402344,70.83149719,41.55606842,1.436492562,61.14846802,71.35430145,64.17298889,1.13214457,18.66145706,175.9893951
2018-11-18 16:38:46.580,28.16264153,1349.977417,2.602833748,179.4742279,1340.692749,1341.856812,833.6419678,43.26645279,85.53003693,58.12669373,41.16746521,77.52966309,74.59754944,72.97554016,42.69622421,1.414204001,60.75756454,70.96220398,64.19908142,1.188629746,19.69956207,179.501236
2018-11-18 16:38:51.586,28.47231483,1331.85376,2.597948313,178.7445221,1323.615601,1324.795654,818.4498901,43.3960495,85.23692322,58.72563171,41.4265213,77.47727203,74.67604828,72.97554016,42.77397537,1.423058271,61.01816177,71.40659332,64.35561371,1.174890041,19.57743073,178.7715302
2018-11-18 16:38:56.592,28.75619888,1275.675537,2.6174891000000002,178.5283356,1270.765381,1270.765381,803.2579346,43.86268616,83.18515015,59.61118317,42.10017776,78.18450928,75.48737335,73.83873749,43.11091232,1.44717896,61.35697937,70.85764313,63.78174591,1.17031014,17.74548149,178.5013428
